Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;TIET11;17/02/2016;19/02/2016;2d;500;C;9,22;9,60;193,25;4,19;193,25; - 
 - ;TIET11;01/03/2016;02/03/2016;1d;500;C;9,99;9,65;-172,00;-3,44;21,25;13d
 - ;TIET11;29/03/2016;30/03/2016;1d;500;C;9,79;10,05;133,30;2,72;154,55;28d
 - ;TIET11;04/05/2016;05/05/2016;1d;500;C;10,19;10,55;177,20;3,48;331,75;1m6d
 - ;TIET11;20/05/2016;25/05/2016;5d;500;C;10,69;10,36;-163,75;-3,06;168,00;16d
 - ;TIET11;14/07/2016;15/07/2016;1d;500;C;11,52;11,23;-142,75;-2,48;25,25;1m25d
 - ;TIET11;18/07/2016;25/07/2016;7d;500;C;11,52;11,84;161,80;2,81;187,05;4d
 - ;TIET11;12/08/2016;30/08/2016;18d;500;C;13,14;12,37;-386,10;-5,88;-199,05;25d
 - ;TIET11;31/08/2016;01/09/2016;1d;500;C;12,60;12,92;158,50;2,52;-40,55;19d
 - ;TIET11;26/09/2016;28/09/2016;2d;500;C;12,43;12,70;135,85;2,19;95,30;26d
 - ;TIET11;04/10/2016;11/10/2016;7d;500;C;12,19;12,02;-83,00;-1,36;12,30;8d
 - ;TIET11;14/08/2017;08/09/2017;25d;500;C;11,43;11,80;186,95;3,27;199,25;10m14d
 - ;TIET11;21/09/2017;22/09/2017;1d;500;C;11,86;11,63;-112,15;-1,89;87,10;1m8d
 - ;TIET11;25/09/2017;26/09/2017;1d;500;C;11,78;11,55;-112,05;-1,90;-24,95;4d
 - ;TIET11;07/12/2018;10/12/2018;3d;500;C;9,08;9,25;83,00;1,83;58,05;1y2m378d
 - ;TIET11;29/03/2019;10/04/2019;12d;500;C;9,86;9,59;-135,45;-2,75;-77,40;3m22d
 - ;TIET11;24/09/2019;27/09/2019;3d;500;C;11,22;11,06;-78,30;-1,40;-155,70;5m29d
 - ;TIET11;05/08/2020;06/08/2020;1d;500;C;14,39;15,03;322,80;4,49;167,10;10m16d
