Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;TRIS3;19/10/2007;25/10/2007;6d;500;C;3,59;3,60;3,25;0,18;3,25; - 
 - ;TRIS3;26/10/2007;31/10/2007;5d;500;C;3,60;3,61;8,15;0,45;11,40;7d
 - ;TRIS3;01/11/2007;05/11/2007;4d;500;C;3,65;3,94;146,55;8,04;157,95;6d
 - ;TRIS3;26/12/2007;28/12/2007;2d;500;C;3,35;3,60;125,40;7,49;283,35;1m25d
 - ;TRIS3;23/07/2009;27/07/2009;4d;500;C;1,35;1,40;25,35;3,75;308,70;1y6m395d
 - ;TRIS3;21/08/2009;24/08/2009;3d;500;C;1,67;1,71;16,90;2,02;325,60;29d
 - ;TRIS3;16/11/2009;23/11/2009;7d;500;C;1,79;1,86;33,80;3,77;359,40;2m27d
 - ;TRIS3;01/03/2010;03/03/2010;2d;500;C;2,15;2,22;35,50;3,30;394,90;3m15d
 - ;TRIS3;16/03/2010;17/03/2010;1d;500;C;2,11;2,16;25,35;2,40;420,25;15d
 - ;TRIS3;24/03/2010;08/04/2010;15d;500;C;2,20;2,09;-53,30;-4,85;366,95;8d
 - ;TRIS3;27/08/2010;30/08/2010;3d;500;C;2,33;2,42;46,65;4,00;413,60;5m6d
 - ;TRIS3;22/09/2010;23/09/2010;1d;500;C;2,53;2,46;-38,55;-3,04;375,05;26d
 - ;TRIS3;30/09/2010;08/10/2010;8d;500;C;2,50;2,59;48,45;3,88;423,50;8d
 - ;TRIS3;12/11/2010;16/11/2010;4d;500;C;2,95;2,85;-50,35;-3,41;373,15;1m13d
 - ;TRIS3;20/02/2013;21/02/2013;1d;500;C;1,17;1,15;-9,15;-1,56;364,00;2y3m741d
 - ;TRIS3;31/05/2013;10/06/2013;10d;500;C;1,65;1,60;-27,25;-3,30;336,75;3m10d
 - ;TRIS3;23/10/2013;31/10/2013;8d;500;C;1,71;1,67;-21,50;-2,52;315,25;4m25d
 - ;TRIS3;22/04/2014;02/05/2014;10d;500;C;1,62;1,54;-43,95;-5,41;271,30;5m31d
 - ;TRIS3;19/05/2014;23/05/2014;4d;500;C;1,54;1,58;20,00;2,60;291,30;27d
 - ;TRIS3;06/06/2014;22/07/2014;1m16d;500;C;1,59;1,52;-35,90;-4,52;255,40;18d
 - ;TRIS3;30/07/2014;16/10/2014;2m18d;500;C;1,62;1,44;-89,85;-11,09;165,55;1m24d
 - ;TRIS3;14/01/2016;21/01/2016;7d;500;C;1,12;1,18;33,45;6,00;199,00;1y5m383d
 - ;TRIS3;24/01/2017;26/01/2017;2d;500;C;1,21;1,16;-27,70;-4,58;171,30;1y376d
 - ;TRIS3;02/02/2017;03/02/2017;1d;500;C;1,25;1,31;32,80;5,27;204,10;9d
 - ;TRIS3;12/09/2017;21/09/2017;9d;500;C;1,31;1,38;34,40;5,24;238,50;7m12d
 - ;TRIS3;14/11/2017;29/11/2017;15d;500;C;2,01;1,94;-36,85;-3,66;201,65;2m3d
 - ;TRIS3;20/12/2017;27/12/2017;7d;500;C;1,83;1,88;27,55;3,02;229,20;1m6d
 - ;TRIS3;15/03/2018;19/03/2018;4d;500;C;2,59;2,69;45,90;3,54;275,10;2m25d
 - ;TRIS3;16/04/2018;18/04/2018;2d;500;C;2,74;2,68;-33,20;-2,42;241,90;1m2d
 - ;TRIS3;19/04/2018;20/04/2018;1d;500;C;2,71;2,66;-28,60;-2,11;213,30;3d
 - ;TRIS3;24/04/2018;30/04/2018;6d;500;C;2,69;2,54;-74,30;-5,53;139,00;5d
 - ;TRIS3;10/09/2018;11/09/2018;1d;500;C;2,47;2,40;-36,10;-2,92;102,90;4m19d
 - ;TRIS3;05/12/2018;06/12/2018;1d;500;C;3,20;3,35;75,70;4,73;178,60;2m26d
 - ;TRIS3;02/01/2019;03/01/2019;1d;500;C;3,88;4,10;108,80;5,61;287,40;28d
 - ;TRIS3;28/02/2019;06/03/2019;6d;500;C;4,53;4,62;42,60;1,88;330,00;1m27d
 - ;TRIS3;29/03/2019;29/04/2019;1m1d;500;C;4,50;4,76;127,75;5,67;457,75;29d
 - ;TRIS3;31/07/2019;02/08/2019;2d;500;C;8,01;7,76;-126,55;-3,16;331,20;4m4d
 - ;TRIS3;19/08/2019;22/08/2019;3d;500;C;8,64;9,37;365,00;8,45;696,20;19d
 - ;TRIS3;26/12/2019;02/01/2020;7d;500;C;14,46;15,26;399,10;5,52;1.095,30;4m9d
 - ;TRIS3;12/02/2020;18/02/2020;6d;500;C;15,23;16,23;496,40;6,52;1.591,70;1m18d
 - ;TRIS3;21/08/2020;04/09/2020;14d;500;C;12,89;11,81;-539,80;-8,38;1.051,90;6m11d
