Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;USIM5;04/09/2000;20/09/2000;16d;500;C;1,20;1,12;-40,50;-6,73;-40,50; - 
 - ;USIM5;25/09/2000;04/10/2000;9d;500;C;1,17;1,08;-43,65;-7,48;-84,15;21d
 - ;USIM5;31/01/2002;14/02/2002;14d;500;C;0,88;0,91;17,95;4,09;-66,20;1y4m373d
 - ;USIM5;30/04/2002;06/05/2002;6d;500;C;1,02;0,99;-14,75;-2,89;-80,95;2m29d
 - ;USIM5;20/12/2002;23/12/2002;3d;500;C;0,79;0,83;19,20;4,86;-61,75;7m24d
 - ;USIM5;16/01/2003;17/01/2003;1d;500;C;0,93;0,89;-20,30;-4,36;-82,05;27d
 - ;USIM5;22/01/2003;23/01/2003;1d;500;C;0,91;0,98;33,30;7,33;-48,75;6d
 - ;USIM5;30/01/2003;06/02/2003;7d;500;C;0,96;0,90;-28,65;-5,98;-77,40;8d
 - ;USIM5;07/02/2003;11/02/2003;4d;500;C;0,93;0,97;17,30;3,70;-60,10;8d
 - ;USIM5;06/03/2003;07/03/2003;1d;500;C;0,97;0,99;8,95;1,84;-51,15;27d
 - ;USIM5;21/03/2003;27/03/2003;6d;500;C;0,99;1,02;15,40;3,11;-35,75;15d
 - ;USIM5;28/04/2003;29/04/2003;1d;500;C;1,38;1,41;16,00;2,32;-19,75;1m8d
 - ;USIM5;20/08/2003;21/08/2003;1d;500;C;2,22;2,29;36,15;3,25;16,40;3m24d
 - ;USIM5;29/09/2003;30/09/2003;1d;500;C;2,33;2,43;49,35;4,23;65,75;1m10d
 - ;USIM5;13/10/2003;21/10/2003;8d;500;C;3,06;3,28;110,40;7,21;176,15;14d
 - ;USIM5;27/10/2003;30/10/2003;3d;500;C;3,25;3,10;-73,60;-4,53;102,55;14d
 - ;USIM5;28/11/2003;01/12/2003;3d;500;C;3,53;3,81;141,30;8,00;243,85;1m2d
 - ;USIM5;26/01/2004;27/01/2004;1d;500;C;4,75;4,94;93,50;3,93;337,35;1m29d
 - ;USIM5;09/08/2004;17/08/2004;8d;500;C;5,94;6,31;182,60;6,15;519,95;6m16d
