Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;VALE3;04/07/2000;14/07/2000;10d;500;C;1,52;1,41;-54,35;-7,17;-54,35; - 
 - ;VALE3;12/09/2000;13/09/2000;1d;500;C;1,56;1,53;-15,25;-1,96;-69,60;2m10d
 - ;VALE3;14/03/2001;15/03/2001;1d;500;C;1,83;1,86;19,00;2,08;-50,60;6m3d
 - ;VALE3;21/03/2001;29/03/2001;8d;500;C;1,86;1,94;38,05;4,08;-12,55;7d
 - ;VALE3;23/04/2001;07/05/2001;14d;500;C;1,83;1,86;19,00;2,08;6,45;1m3d
 - ;VALE3;26/07/2001;03/09/2001;1m9d;500;C;2,00;1,93;-34,90;-3,50;-28,45;3m4d
 - ;VALE3;22/03/2002;06/05/2002;1m15d;500;C;2,63;2,80;83,45;6,35;55,00;7m29d
 - ;VALE3;12/06/2002;13/06/2002;1d;500;C;3,24;3,14;-50,90;-3,14;4,10;2m22d
 - ;VALE3;06/08/2002;07/08/2002;1d;500;C;3,21;3,14;-35,25;-2,19;-31,15;1m25d
 - ;VALE3;15/08/2002;16/08/2002;1d;500;C;3,28;3,40;60,70;3,71;29,55;9d
 - ;VALE3;26/12/2002;30/12/2002;4d;500;C;4,34;4,46;60,35;2,78;89,90;4m13d
 - ;VALE3;15/01/2003;21/01/2003;6d;500;C;3,99;4,04;25,80;1,29;115,70;20d
 - ;VALE3;24/07/2003;25/07/2003;1d;500;C;4,09;4,34;124,80;6,11;240,50;6m10d
 - ;VALE3;11/08/2003;12/08/2003;1d;500;C;4,48;4,70;109,45;4,89;349,95;18d
 - ;VALE3;28/08/2003;29/08/2003;1d;500;C;4,86;5,03;84,90;3,50;434,85;17d
 - ;VALE3;12/09/2003;15/09/2003;3d;500;C;5,21;5,07;-67,60;-2,60;367,25;15d
 - ;VALE3;30/10/2003;31/10/2003;1d;500;C;5,92;6,12;102,00;3,45;469,25;1m18d
 - ;VALE3;12/11/2003;13/11/2003;1d;500;C;5,80;5,96;80,90;2,79;550,15;13d
 - ;VALE3;19/01/2004;22/01/2004;3d;500;C;7,76;7,56;-97,55;-2,52;452,60;2m8d
 - ;VALE3;09/08/2004;13/08/2004;4d;500;C;7,52;7,73;108,80;2,89;561,40;6m23d
 - ;VALE3;29/09/2004;26/11/2004;1m28d;500;C;8,93;9,75;410,35;9,19;971,75;1m21d
