Conta: 
Titular: 
Data Inicial: 01/05/2000
Data Final: 26/10/2020

Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado;Resultado(%);Total;TET
 - ;WEGE3;13/08/2001;20/08/2001;7d;500;C;0,31;0,31;-1,25;-0,81;-1,25; - 
 - ;WEGE3;12/12/2001;28/02/2002;2m18d;500;C;0,34;0,34;4,20;2,51;2,95;3m31d
 - ;WEGE3;01/10/2002;04/10/2002;3d;500;C;0,43;0,42;-5,00;-2,34;-2,05;9m23d
 - ;WEGE3;19/04/2004;23/04/2004;4d;500;C;1,27;1,33;28,95;4,54;26,90;1y6m386d
 - ;WEGE3;23/06/2004;06/07/2004;13d;500;C;1,44;1,39;-24,95;-3,47;1,95;2m5d
 - ;WEGE3;12/08/2004;13/08/2004;1d;500;C;1,45;1,46;8,90;1,23;10,85;1m20d
 - ;WEGE3;20/07/2005;21/07/2005;1d;500;C;1,43;1,51;37,30;5,21;48,15;11m12d
 - ;WEGE3;17/10/2005;19/10/2005;2d;500;C;1,52;1,47;-22,35;-2,95;25,80;2m29d
 - ;WEGE3;10/11/2005;25/11/2005;15d;500;C;1,53;1,56;15,35;2,01;41,15;24d
 - ;WEGE3;16/01/2006;17/01/2006;1d;500;C;1,74;1,68;-27,80;-3,20;13,35;2m7d
 - ;WEGE3;14/02/2006;17/02/2006;3d;500;C;1,64;1,68;20,50;2,50;33,85;29d
 - ;WEGE3;01/06/2006;06/06/2006;5d;500;C;1,69;1,74;26,10;3,09;59,95;3m17d
 - ;WEGE3;21/06/2006;26/06/2006;5d;500;C;1,74;1,80;30,30;3,47;90,25;20d
 - ;WEGE3;17/07/2006;18/07/2006;1d;500;C;1,79;1,74;-26,25;-2,92;64,00;26d
 - ;WEGE3;02/08/2006;03/08/2006;1d;500;C;1,83;1,86;15,95;1,74;79,95;16d
 - ;WEGE3;08/09/2006;11/09/2006;3d;500;C;1,99;2,03;22,30;2,25;102,25;1m7d
 - ;WEGE3;13/09/2006;19/09/2006;6d;500;C;2,03;1,96;-35,40;-3,49;66,85;5d
 - ;WEGE3;03/10/2006;09/10/2006;6d;500;C;2,17;2,26;47,95;4,43;114,80;20d
 - ;WEGE3;11/12/2006;12/12/2006;1d;500;C;2,89;2,84;-22,75;-1,58;92,05;2m9d
 - ;WEGE3;10/01/2007;24/01/2007;14d;500;C;3,24;3,45;106,85;6,60;198,90;30d
 - ;WEGE3;09/02/2007;13/02/2007;4d;500;C;3,58;3,68;53,40;2,98;252,30;30d
 - ;WEGE3;30/07/2007;07/08/2007;8d;500;C;4,61;4,82;109,10;4,74;361,40;5m21d
 - ;WEGE3;28/11/2007;10/12/2007;12d;500;C;5,33;5,74;207,45;7,79;568,85;3m31d
 - ;WEGE3;08/01/2008;09/01/2008;1d;500;C;5,49;5,26;-114,10;-4,16;454,75;1m11d
 - ;WEGE3;18/02/2009;19/02/2009;1d;500;C;2,83;2,94;57,05;4,03;511,80;1y1m377d
 - ;WEGE3;09/06/2009;10/06/2009;1d;500;C;3,37;3,31;-34,00;-2,02;477,80;3m21d
 - ;WEGE3;24/06/2009;08/07/2009;14d;500;C;3,10;2,87;-111,80;-7,22;366,00;15d
 - ;WEGE3;06/08/2009;07/08/2009;1d;500;C;3,47;3,40;-34,45;-1,99;331,55;1m13d
 - ;WEGE3;30/11/2009;01/12/2009;1d;500;C;4,10;4,22;62,90;3,07;394,45;3m26d
 - ;WEGE3;24/10/2011;25/10/2011;1d;500;C;4,74;4,63;-53,95;-2,28;340,50;1y10m393d
 - ;WEGE3;25/11/2011;30/11/2011;5d;500;C;4,32;4,46;67,85;3,14;408,35;1m2d
 - ;WEGE3;14/02/2012;16/02/2012;2d;500;C;4,87;4,73;-74,15;-3,04;334,20;2m21d
 - ;WEGE3;24/02/2012;05/03/2012;10d;500;C;4,87;5,02;74,95;3,08;409,15;10d
 - ;WEGE3;14/03/2012;15/03/2012;1d;500;C;4,94;5,05;55,00;2,23;464,15;19d
 - ;WEGE3;20/03/2012;22/03/2012;2d;500;C;5,01;4,91;-48,65;-1,94;415,50;6d
 - ;WEGE3;26/03/2012;27/03/2012;1d;500;C;4,93;4,98;26,35;1,07;441,85;6d
 - ;WEGE3;17/04/2012;18/04/2012;1d;500;C;4,95;5,04;41,40;1,67;483,25;22d
 - ;WEGE3;18/10/2012;19/10/2012;1d;500;C;5,86;5,93;34,30;1,17;517,55;6m4d
 - ;WEGE3;24/10/2012;29/10/2012;5d;500;C;5,96;5,84;-63,30;-2,12;454,25;6d
 - ;WEGE3;14/11/2012;16/11/2012;2d;500;C;5,97;6,42;223,80;7,49;678,05;21d
 - ;WEGE3;19/12/2012;28/12/2012;9d;500;C;7,02;7,19;86,45;2,46;764,50;1m5d
 - ;WEGE3;17/01/2013;28/01/2013;11d;500;C;7,03;6,68;-176,60;-5,03;587,90;29d
 - ;WEGE3;14/05/2013;11/06/2013;28d;500;C;7,29;7,05;-118,40;-3,25;469,50;3m27d
 - ;WEGE3;18/10/2013;21/10/2013;3d;500;C;7,43;7,51;39,15;1,05;508,65;5m7d
 - ;WEGE3;25/10/2013;07/11/2013;13d;500;C;7,63;7,81;87,40;2,29;596,05;7d
 - ;WEGE3;14/11/2013;25/11/2013;11d;500;C;7,79;8,03;122,60;3,15;718,65;20d
 - ;WEGE3;28/04/2014;13/05/2014;15d;500;C;9,16;9,61;225,35;4,92;944,00;5m15d
 - ;WEGE3;27/05/2014;04/06/2014;8d;500;C;9,08;9,23;72,25;1,59;1.016,25;29d
 - ;WEGE3;18/06/2014;23/06/2014;5d;500;C;9,69;9,47;-111,65;-2,30;904,60;22d
 - ;WEGE3;24/06/2014;25/06/2014;1d;500;C;9,60;9,74;72,25;1,51;976,85;6d
 - ;WEGE3;01/07/2014;07/07/2014;6d;500;C;9,76;9,49;-134,35;-2,75;842,50;7d
 - ;WEGE3;11/07/2014;14/07/2014;3d;500;C;9,39;9,58;96,60;2,06;939,10;10d
 - ;WEGE3;18/07/2014;21/07/2014;3d;500;C;9,59;9,29;-149,60;-3,12;789,50;7d
 - ;WEGE3;22/07/2014;24/07/2014;2d;500;C;9,62;9,99;186,25;3,87;975,75;4d
 - ;WEGE3;11/09/2014;18/09/2014;7d;500;C;9,86;9,65;-105,75;-2,14;870,00;1m21d
 - ;WEGE3;22/10/2014;27/10/2014;5d;500;C;9,61;9,91;152,95;3,18;1.022,95;1m11d
 - ;WEGE3;18/11/2014;19/11/2014;1d;500;C;10,30;10,41;57,35;1,11;1.080,30;27d
 - ;WEGE3;24/11/2014;11/12/2014;17d;500;C;10,60;11,00;201,65;3,81;1.281,95;6d
 - ;WEGE3;03/03/2015;04/03/2015;1d;500;C;10,92;11,27;173,55;3,18;1.455,50;3m9d
 - ;WEGE3;22/05/2015;25/05/2015;3d;500;C;12,12;12,36;116,00;1,91;1.571,50;2m20d
 - ;WEGE3;10/05/2016;11/05/2016;1d;500;C;10,95;11,29;172,35;3,15;1.743,85;11m24d
 - ;WEGE3;31/05/2016;08/06/2016;8d;500;C;10,61;10,90;147,20;2,78;1.891,05;21d
 - ;WEGE3;14/06/2016;15/06/2016;1d;500;C;10,37;10,08;-141,90;-2,74;1.749,15;14d
 - ;WEGE3;18/10/2016;28/10/2016;10d;500;C;12,97;12,46;-258,40;-3,98;1.490,75;4m6d
 - ;WEGE3;10/03/2017;13/03/2017;3d;500;C;12,72;12,28;-223,65;-3,52;1.267,10;4m23d
 - ;WEGE3;26/05/2017;09/06/2017;14d;500;C;14,06;13,52;-273,55;-3,89;993,55;2m17d
 - ;WEGE3;25/07/2017;27/07/2017;2d;500;C;14,33;13,89;-220,20;-3,07;773,35;1m30d
 - ;WEGE3;31/08/2017;04/09/2017;4d;500;C;15,30;15,75;224,95;2,94;998,30;1m7d
 - ;WEGE3;06/11/2017;17/11/2017;11d;500;C;16,06;16,73;336,30;4,19;1.334,60;2m7d
 - ;WEGE3;07/02/2018;09/02/2018;2d;500;C;17,36;16,34;-513,00;-5,91;821,60;3m3d
 - ;WEGE3;11/10/2018;23/10/2018;12d;500;C;18,21;18,76;273,30;3,00;1.094,90;8m6d
 - ;WEGE3;22/02/2019;25/02/2019;3d;500;C;18,53;18,19;-169,60;-1,83;925,30;4m14d
 - ;WEGE3;26/04/2019;30/04/2019;4d;500;C;18,88;18,18;-352,80;-3,74;572,50;2m3d
 - ;WEGE3;21/08/2019;26/08/2019;5d;500;C;22,57;21,84;-364,15;-3,23;208,35;3m27d
 - ;WEGE3;28/08/2019;30/08/2019;2d;500;C;21,87;22,39;262,45;2,40;470,80;7d
 - ;WEGE3;01/10/2019;02/10/2019;1d;500;C;24,25;23,82;-218,35;-1,80;252,45;1m4d
 - ;WEGE3;11/02/2020;12/02/2020;1d;500;C;42,00;43,96;982,90;4,68;1.235,35;4m13d
 - ;WEGE3;17/07/2020;20/07/2020;3d;500;C;55,59;60,02;2.214,80;7,97;3.450,15;5m7d
 - ;WEGE3;31/07/2020;20/08/2020;20d;500;C;67,97;64,41;-1.779,95;-5,24;1.670,20;14d
 - ;WEGE3;22/09/2020;01/10/2020;9d;500;C;63,75;66,78;1.514,30;4,75;3.184,50;1m23d
